,hotel_name,price,reviews,rating,url,key
83,The Student Hotel Amsterdam West,174.0,2333.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d4694432-Reviews-The_Student_Hotel_Amsterdam_West-Amsterdam_North_Holland_Province.html,Amsterdam
84,"Apollo Hotel Amsterdam, a Tribute Portfolio Hotel",190.0,2078.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d1740219-Reviews-Apollo_Hotel_Amsterdam_a_Tribute_Portfolio_Hotel-Amsterdam_North_Holland_Province.html,Amsterdam
85,Hotel Roemer,200.0,921.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d283029-Reviews-Hotel_Roemer-Amsterdam_North_Holland_Province.html,Amsterdam
86,Amsterdam Marriott Hotel,482.0,664.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d229495-Reviews-Amsterdam_Marriott_Hotel-Amsterdam_North_Holland_Province.html,Amsterdam
87,Sofitel Legend The Grand Amsterdam,459.0,3055.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d189389-Reviews-Sofitel_Legend_The_Grand_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
88,Canal House,593.0,817.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d190556-Reviews-Canal_House-Amsterdam_North_Holland_Province.html,Amsterdam
89,Waldorf Astoria Amsterdam,671.0,1763.0,5.0,http://www.tripadvisor.com/Hotel_Review-g188590-d5555141-Reviews-Waldorf_Astoria_Amsterdam-Amsterdam_North_Holland_Province.html,Amsterdam
90,DoubleTree by Hilton Hotel Amsterdam - NDSM Wharf,154.0,1042.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d6159003-Reviews-DoubleTree_by_Hilton_Hotel_Amsterdam_NDSM_Wharf-Amsterdam_North_Holland_Province.html,Amsterdam
91,Mercure Amsterdam Centre Canal District,257.0,838.0,4.0,http://www.tripadvisor.com/Hotel_Review-g188590-d229124-Reviews-Mercure_Amsterdam_Centre_Canal_District-Amsterdam_North_Holland_Province.html,Amsterdam
92,Residence Inn by Marriott Amsterdam Houthavens,231.0,114.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d13345991-Reviews-Residence_Inn_by_Marriott_Amsterdam_Houthavens-Amsterdam_North_Holland_Province.html,Amsterdam
93,Amsterdam Canal Hotel,195.0,634.0,4.5,http://www.tripadvisor.com/Hotel_Review-g188590-d3935747-Reviews-Amsterdam_Canal_Hotel-Amsterdam_North_Holland_Province.html,Amsterdam
