booking_provider,checkIn,checkOut,hotel_features,hotel_name,locality,no_of_deals,price_per_night,reviews,tripadvisor_rating,url
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Free parking",Hyatt Place Las Vegas,las vegas,15,$189,1070 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d91693-Reviews-Hyatt_Place_Las_Vegas-Las_Vegas_Nevada.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Courtyard Las Vegas South,las vegas,13,$159,278 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d294793-Reviews-Courtyard_Las_Vegas_South-Las_Vegas_Nevada.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",NoMad Las Vegas,las vegas,10,$259,146 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d15182489-Reviews-NoMad_Las_Vegas-Las_Vegas_Nevada.html
Expedia.com,2019/03/29,2019/03/30,"Free parking,Pool",Treasure Island - TI Hotel & Casino,las vegas,17,$126,16054 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d91967-Reviews-Treasure_Island_TI_Hotel_Casino-Las_Vegas_Nevada.html
Expedia.com,2019/03/29,2019/03/30,"Pool,Restaurant,Visit hotel website",The Mirage Hotel & Casino,las vegas,17,$159,22039 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d97737-Reviews-The_Mirage_Hotel_Casino-Las_Vegas_Nevada.html
Mandalay Bay,2019/03/29,2019/03/30,"Pool,Restaurant,Visit hotel website",Mandalay Bay Resort & Casino,las vegas,17,$229,7221 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d91886-Reviews-Mandalay_Bay_Resort_Casino-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free parking,Pool",Westgate Las Vegas Resort & Casino,las vegas,14,$88,4813 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d91878-Reviews-Westgate_Las_Vegas_Resort_Casino-Las_Vegas_Nevada.html
Expedia.com,2019/03/29,2019/03/30,"Free parking,Pool,Visit hotel website",Hard Rock Hotel & Casino Las Vegas,las vegas,17,$140,9752 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d91840-Reviews-Hard_Rock_Hotel_Casino_Las_Vegas-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Pool,Restaurant,Visit hotel website",New York - New York Hotel and Casino,las vegas,17,$179,20108 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d91904-Reviews-New_York_New_York_Hotel_and_Casino-Las_Vegas_Nevada.html
Golden Nugget,2019/03/29,2019/03/30,"Free Wifi,Free parking",Golden Nugget Hotel & Casino,las vegas,19,$245,12482 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d91828-Reviews-Golden_Nugget_Hotel_Casino-Las_Vegas_Nevada.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",The LINQ Hotel & Casino,las vegas,17,$159,14123 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d186114-Reviews-The_LINQ_Hotel_Casino-Las_Vegas_Nevada.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Pool,Visit hotel website",Harrah's Las Vegas Hotel & Casino,las vegas,19,$135,12412 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d114889-Reviews-Harrah_s_Las_Vegas_Hotel_Casino-Las_Vegas_Nevada.html
AMOMA,2019/03/29,2019/03/30,"Free Wifi,Free parking,Visit hotel website",The D Casino Hotel Las Vegas,las vegas,14,$196,3217 ,,http://www.tripadvisor.com/Hotel_Review-g45963-d91679-Reviews-The_D_Casino_Hotel_Las_Vegas-Las_Vegas_Nevada.html
