booking_provider,checkIn,checkOut,hotel_features,hotel_name,locality,no_of_deals,price_per_night,reviews,tripadvisor_rating,url
Booking.com,2019/03/29,2019/03/30,Free Wifi,Petit Palace Plaza del Carmen,madrid,15,$163,911 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d601728-Reviews-Petit_Palace_Plaza_del_Carmen-Madrid.html
Booking.com,2019/03/29,2019/03/30,Free Wifi,Room007 Sol,madrid,11,$132,397 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d12157739-Reviews-Room007_Sol-Madrid.html
Only YOU Hotels,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Only YOU Boutique Hotel Madrid,madrid,14,$251,3124 ,5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d4719800-Reviews-Only_YOU_Boutique_Hotel_Madrid-Madrid.html
Booking.com,2019/03/29,2019/03/30,Free Wifi,Hostal Las Fuentes,madrid,12,$98,797 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d289608-Reviews-Hostal_Las_Fuentes-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Bar/Lounge",Hotel Puerta de Toledo,madrid,14,$112,1189 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d234299-Reviews-Hotel_Puerta_de_Toledo-Madrid.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant,Visit hotel website",Occidental Castellana Norte,madrid,17,$97,1192 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d1008133-Reviews-Occidental_Castellana_Norte-Madrid.html
Travelocity,2019/03/29,2019/03/30,"Free Wifi,Pool",NH Collection Madrid Colon,madrid,15,$181,805 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d206970-Reviews-NH_Collection_Madrid_Colon-Madrid.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant",ILUNION Pio XII,madrid,18,$113,954 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d228660-Reviews-ILUNION_Pio_XII-Madrid.html
Hostelworld.com,2019/03/29,2019/03/30,"Free Wifi,Bar/Lounge",The Hat,madrid,11,$92,1072 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d6385697-Reviews-The_Hat-Madrid.html
Booking.com,2019/03/29,2019/03/30,Free Wifi,Mayerling Hotel,madrid,15,$122,765 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d1490255-Reviews-Mayerling_Hotel-Madrid.html
Official Site,2019/03/29,2019/03/30,"Free Wifi,Restaurant",VP Jardin Metropolitano,madrid,13,$153,699 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d589532-Reviews-VP_Jardin_Metropolitano-Madrid.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant",Hotel One Shot Luchana 22,madrid,17,$152,783 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d3863714-Reviews-Hotel_One_Shot_Luchana_22-Madrid.html
Mercure,2019/03/29,2019/03/30,"Free Wifi,Room service,Visit hotel website",Mercure Madrid Plaza de Espana,madrid,12,$187,337 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d206966-Reviews-Mercure_Madrid_Plaza_de_Espana-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Visit hotel website",Hostal Alexis,madrid,5,$91,270 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d6460136-Reviews-Hostal_Alexis-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Room service",Hotel Sardinero Madrid,madrid,15,$149,791 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d3905399-Reviews-Hotel_Sardinero_Madrid-Madrid.html
Travelocity,2019/03/29,2019/03/30,"Free Wifi,Restaurant",NH Madrid Zurbano,madrid,16,$142,913 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d206983-Reviews-NH_Madrid_Zurbano-Madrid.html
Expedia.com,2019/03/29,2019/03/30,Free Wifi,JC Rooms Santo Domingo Hotel,madrid,14,$88,1187 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d4019973-Reviews-JC_Rooms_Santo_Domingo_Hotel-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant",NH Madrid Ribera del Manzanares,madrid,15,$122,1530 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g187514-d1985902-Reviews-NH_Madrid_Ribera_del_Manzanares-Madrid.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant",ILUNION Atrium,madrid,17,$79,1390 ,4 ,http://www.tripadvisor.com/Hotel_Review-g187514-d1177124-Reviews-ILUNION_Atrium-Madrid.html
