booking_provider,checkIn,checkOut,hotel_features,hotel_name,locality,no_of_deals,price_per_night,reviews,tripadvisor_rating,url
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant",The Tank Stream Hotel,sydney,15,$151,992 ,4 ,http://www.tripadvisor.com/Hotel_Review-g255060-d8488014-Reviews-The_Tank_Stream_Hotel-Sydney_New_South_Wales.html
Booking.com,2019/03/29,2019/03/30,"Free Wifi,Fitness center",Larmont Sydney by Lancemore,sydney,15,$128,440 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d656349-Reviews-Larmont_Sydney_by_Lancemore-Sydney_New_South_Wales.html
Expedia.com,2019/03/29,2019/03/30,"Beachfront,Pool",The Sebel Manly Beach,sydney,14,$257,836 ,4 ,http://www.tripadvisor.com/Hotel_Review-g552103-d258084-Reviews-The_Sebel_Manly_Beach-Manly_Greater_Sydney_New_South_Wales.html
Orbitz.com,2019/03/29,2019/03/30,"Free Wifi,Visit hotel website",Mrs Banks Hotel,sydney,9,$277,51 ,5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d12805661-Reviews-Mrs_Banks_Hotel-Sydney_New_South_Wales.html
Expedia.com,2019/03/29,2019/03/30,"Restaurant,Room service",Harbour Rocks Hotel Sydney - MGallery Collection,sydney,15,$196,1457 ,4 ,http://www.tripadvisor.com/Hotel_Review-g255060-d256561-Reviews-Harbour_Rocks_Hotel_Sydney_MGallery_Collection-Sydney_New_South_Wales.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Restaurant",The Old Clare Hotel,sydney,12,$244,507 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d8649358-Reviews-The_Old_Clare_Hotel-Sydney_New_South_Wales.html
Orbitz.com,2019/03/29,2019/03/30,"Free Wifi,Free parking",Simpsons of Potts Point Hotel,sydney,11,$151,1002 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g255060-d257312-Reviews-Simpsons_of_Potts_Point_Hotel-Sydney_New_South_Wales.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Visit hotel website",The Maisonette,sydney,12,$90,609 ,4 ,http://www.tripadvisor.com/Hotel_Review-g255060-d288406-Reviews-The_Maisonette-Sydney_New_South_Wales.html
Expedia.com,2019/03/29,2019/03/30,"Free Wifi,Beachfront",Quest Manly,sydney,10,$180,879 ,4.5 ,http://www.tripadvisor.com/Hotel_Review-g552103-d263596-Reviews-Quest_Manly-Manly_Greater_Sydney_New_South_Wales.html
Hostelworld.com,2019/03/29,2019/03/30,Free Internet,Big Hostel,sydney,11,$77,455 ,4 ,http://www.tripadvisor.com/Hotel_Review-g255060-d577523-Reviews-Big_Hostel-Sydney_New_South_Wales.html
